PERMNO,date,TICKER,PRC,RET
77157,20201231,OI,11.9,0.051237
77165,20200131,JBSS,84.3,-0.076468
77165,20200228,JBSS,70.19,-0.167378
77165,20200331,JBSS,89.4,0.273686
77165,20200430,JBSS,82.13,-0.08132
77165,20200529,JBSS,86.94,0.070742
77165,20200630,JBSS,85.33,-0.018519
77165,20200731,JBSS,88.17,0.033283
77165,20200831,JBSS,79.64,-0.068391
77165,20200930,JBSS,75.38,-0.053491
77165,20201030,JBSS,72.76,-0.034757
77165,20201130,JBSS,74.21,0.019928
77165,20201231,JBSS,78.86,0.06266
77175,20200131,AMSC,6.28,-0.2
77175,20200228,AMSC,6.85,0.090764
77175,20200331,AMSC,5.48,-0.2
77175,20200430,AMSC,5.75,0.04927
77175,20200529,AMSC,7.25,0.26087
77175,20200630,AMSC,8.13,0.121379
77175,20200731,AMSC,9.3,0.143911
77175,20200831,AMSC,12.56,0.350538
77175,20200930,AMSC,14.48,0.152866
77175,20201030,AMSC,13.91,-0.039365
77175,20201130,AMSC,19.88,0.429188
77175,20201231,AMSC,23.42,0.178068
77178,20200131,QCOM,85.31,-0.033095
77178,20200228,QCOM,78.3,-0.082171
77178,20200331,QCOM,67.65,-0.128097
77178,20200430,QCOM,78.67,0.162897
77178,20200529,QCOM,80.88,0.028092
77178,20200630,QCOM,91.21,0.135757
77178,20200731,QCOM,105.61,0.157877
77178,20200831,QCOM,119.1,0.127734
77178,20200930,QCOM,117.68,-0.006465
77178,20201030,QCOM,123.36,0.048266
77178,20201130,QCOM,147.17,0.193012
77178,20201231,QCOM,152.34,0.039546
77182,20200131,PRGO,57.04,0.104142
77182,20200228,PRGO,50.69,-0.107381
77182,20200331,PRGO,48.09,-0.051292
77182,20200430,PRGO,53.3,0.108339
77182,20200529,PRGO,54.77,0.031801
77182,20200630,PRGO,55.27,0.009129
77182,20200731,PRGO,53.02,-0.040709
77182,20200831,PRGO,52.3,-0.009336
77182,20200930,PRGO,45.91,-0.12218
77182,20201030,PRGO,43.87,-0.044435
77182,20201130,PRGO,48.22,0.104285
77182,20201231,PRGO,44.72,-0.072584
77191,20200131,TTEK,85.6,-0.0065
77191,20200228,TTEK,80.87,-0.053505
77191,20200331,TTEK,70.62,-0.126747
77191,20200430,TTEK,75.28,0.065987
77191,20200529,TTEK,78.9,0.050345
77191,20200630,TTEK,79.12,0.002788
77191,20200731,TTEK,88.65,0.12045
77191,20200831,TTEK,92.31,0.043204
77191,20200930,TTEK,95.5,0.034557
77191,20201030,TTEK,100.91,0.056649
77191,20201130,TTEK,119.25,0.183431
77191,20201231,TTEK,115.78,-0.029099
77202,20200131,JAN,3.039,0.026689
77202,20200228,JAN,3.5,0.151695
77202,20200331,JAN,2.2414,-0.3596
77202,20200430,JAN,2.605,0.16222
77202,20200529,JAN,3.16,0.213052
77202,20200630,JAN,3.2,0.012658
77202,20200731,JAN,3.94,0.23125
77202,20200831,JAN,6.98,0.771574
77202,20200930,JAN,4.74,-0.320917
77202,20201030,JAN,3.66,-0.227848
77202,20201130,JAN,4.27,0.166667
77202,20201231,JAN,4.89,0.145199
77208,20200131,BSTC,59.08,0.037583
77208,20200228,BSTC,55.19,-0.065843
77208,20200331,BSTC,56.57,0.025005
77208,20200430,BSTC,56.91,0.00601
77208,20200529,BSTC,62.2,0.092954
77208,20200630,BSTC,61.28,-0.014791
77208,20200731,BSTC,62.66,0.02252
77208,20200831,BSTC,64.5,0.029365
