tic,ch,dltt,ebit,emp,fatd,tie
LM,1019.48,2251.47,597.178,3.059,,
LEN,1445.996,7014.438,2461.181,10.106,,
LEFUF,89.032,460.881,168.09,8.599,,
JEF,7678.821,7785.861,1551.311,4.8,,
LLY,2337.5,14304.6,5874.1,33.625,,
LB,1499,8552,978,94.4,,
LECO,199.563,751.378,390.91,11,,
LNC,2563,6588,1419,11.357,,
LBLCF,1133,13662,2361,194,,
LMT,1514,12259,8427,110,,
L,336,12150,1510,18.605,,
RRC,0.546,3214.005,-1985.08,0.655,,
LPX,181,384,73,4.8,,
ETR2,2.006,7022.786,896.642,1.67,,
LOW,716,20711,6314,320,,
LUB,3.64,45.512,-17.519,6.133,,
LDL,51.331,281.137,31.806,3.25,,
LGL,12.453,0,3.439,0.193,,
MDC,459.933,785.343,284.331,1.656,,
MDU,66.459,2310.309,481.875,13.359,,
MTSC,57.937,484.648,84.133,3.5,,
MGEE,23.481,541.616,110.91,0.731,,
MGA,1276,4663,2367,165,,
MKTAY,,87.74,595.208,17.09,,
MTW,199.3,346,112.4,4.9,,
MRO,858,5608,437,2,,
MCS,20.862,459.345,71.348,10.5,,
MARPS,0.966,0,0.613,0,,
HST,1573,4377,840,0.175,,
MMC,1155,12667,3342,76,,
MAS,697,2933,1110,22,,
CCUR,8.083,1.6,-1.727,0.007,,
IMUN,0.005,0,-2.838,,,
PCRFY,9446.849,10746.188,2664.093,259.385,,
MAT,630.028,3117.604,136.127,24,,
MLP,0.683,1.035,-0.796,0.011,,
MAYS,4.117,0,2.453,0.029,,
MKC,155.4,3625.8,978.5,12.4,,
MDRIQ,800,304,-220,42.6,,
MCD,898.5,46875.9,8885.9,205,,
MGRC,2.342,303.376,141.372,1.099,,
SPGI,2866,4568,3227,22.5,,
MCK,,7995,3210,80,,
MCRAA,12.799,0,2.298,,,
MKTY,2.51,0.776,0.259,,,
GENC,10.302,0,9.47,0.334,,
MDT,4140,22795,5724,104.95,,
PSSR,0.145,8.35,-3.132,0.055,,
CVS,5683,83625,12702,300,,
MRK,9676,23504,14526,71,,
MDP,45,2333.3,424.4,5.67,,
MLAB,81.38,141.54,18.215,0.46,,
MTR,,0,1.605,0,,
MSB,10.177,0,29.773,0,,
MEI,217.3,358.1,147.1,6.044,,
EVI,5.038,40.563,7.252,0.475,,
GPU1,0,1083,205,,,
MXC,0.034,0.768,-0.063,0.006,,
SIEB,3.082,3.114,4.801,0.132,,
MIK,409.964,4002.281,572.606,44,,
MU,7152,4541,7425,37,,
MPAD,13.89,0,4.317,0.132,,
ETR6,68.534,548.097,114.985,0,,
ETR,425.722,17313.378,1680.524,13.635,,
MSEX,2.23,236.509,35.52,0.352,,
MKRS,1.621,0.245,0.061,0.028,,
MLHR,454,718.7,206.2,7.6,,
MSA,152.195,371.026,224.29,4.8,,
MMM,2353,18236,7068,96.163,,
ALE,69.3,1422.7,179.8,1.339,,
ETR4,51.601,1630.743,203.754,0.745,,
SO4,286,1312,249,1.03,,
MITSY,9839.302,39304.111,2256.083,45.624,,
MOD,70.9,502.3,97.1,11.3,,
MCEM,24.145,0.721,22.546,,,
MNR,,691.534,91.392,0.017,,
QDEL,52.775,97.602,105.85,1.25,,
AYE1,25,1806,230,,,
MOG.A,89.702,832.984,294.726,12.809,,
MSI,1001,5610,1650,17,,
MUR,306.76,3324.705,470.612,0.822,,
INTG,11.837,170.853,15.196,0.028,,
MYE,75.527,81.25,38.006,1.64,,
VTRS,475.6,11390,1578.2,35,,
BAC,30152,226798,47360,208.131,,22345
NCR,509,3671,672,36,,
NL,129.73,0.5,5.075,0.547,,
BMRA,8.641,1.57,-2.403,0.065,,
NSSC,8.028,0,13.466,1.076,,
NATH,77.117,154.672,27.172,0.12,,
NFG,20.428,2133.718,511.809,2.107,,
NHC,50.334,193.629,52.173,14.881,,
THC,262,15438,1679,113.6,,
GPX,8.159,105.029,19,4.856,,
NPK,79.579,3.001,46.38,0.919,,
SMAGF,0.045,9.283,-28.369,,,
7252B,671.372,19981.086,1014.529,0.253,,
HLNFF,4.078,384.207,64.976,1.167,,
NATR,53.629,20.213,18.5,0.834,,
CRMZ,8.276,2.299,0.187,0.101,,
NJR,2.676,1537.177,153.935,1.108,,
ETR3,6.017,539.458,68.685,0.308,,
NUVR,2.993,52.218,15.133,0.197,,
NYT,230.431,55.136,181.524,4.5,,
NWL,348.6,5932.7,844.4,30,,
NEM,2243,6781,1541,16.6,,
NR,48.672,180.484,29.087,2.2,,
NKE,8348,12319,3115,75.4,,
NTTYY,9605.489,23643.74,16267.318,319.039,,
NOBH,22.534,0,8.301,0.139,,
NBL,484,7641,-1756,2.282,,
NROM,0.218,8.517,2.614,0.127,,
NDSN,151.164,1084.917,486.291,7.579,,
JWN,853,4551,816,68,,
NSC,580,12601,3957,24.587,,
NC,122.892,29.596,-25.269,2.4,,
MOV,185.872,133.957,42.868,1.145,,
NRT,1.591,0,7.564,0.002,,
PGL2,0.3,131.1,24.9,0.15,,
ES,,14360.35,1830.135,8.234,,
NI,139.3,7907.8,1071.6,8.363,,
XEL,248,19033,2104,11.317,,
XEL1,1.3,808,130.6,0.538,,
NTRS,2383.4,4102,3201.6,19.8,,822
NOC,2245,14078,3969,90,,
TEX,535.1,1273.5,364.9,9.5,,
NWN,9.648,806.796,143.474,1.22,,
WMB2,0,593.868,187.528,0,,
NWE,5.145,2253.023,276.85,1.533,,
WFC,21757,193842,33047,259.8,,18852
NVO,2323.996,451.884,7939.131,43.258,,
NUE,1534.605,4366.178,1899.121,26.8,,
NEWT,1.762,411.825,15.096,0.109,,
OXY,3032,39391,3913,14.4,,
OBCI,6.125,4.412,4.614,0.154,,
OII,373.655,957.504,-116.647,9.1,,
ITI,14.217,11.995,-4.287,0.44,,
VTOL,196.662,739.98,10.015,,,
FE,627,19859,2510,12.316,,
AEP5,3.7,2174.1,401.2,1.681,,
ODC,21.862,3.052,10.412,0.801,,
OGE,0,3241,504.3,2.425,,
OLN,220.9,3642.1,249.1,6.5,,
OLP,11.034,437.944,35.87,0.009,,
OKE,20.958,12517.562,1916.928,2.882,,
ED2,32,820.6,139,,,
ORBT,3.569,0.531,0.612,,,
OTTR,21.199,707.774,134.88,2.208,,
OSG,41.503,579.584,34.258,0.713,,
OMI,67.03,1625.495,105.426,15.4,,
OC,172,3124,839,19,,
OI,551,5573,675,27.5,,
OXM,52.46,291.886,97.06,6.1,,
PFIN,0.38,3.07,-0.812,0.195,,
PNC,5061,37344,8048,51.918,,3797
PPG,1216,5161,1954,47.6,,
PCAR,4175.1,5618.4,3205.4,27,,
PCG,1570,1730,2879,23,,
SRE,108,21230,2627,13.969,,
MEC2,30,7651,1072,5.3,,
SMM,,,,,,
PEL1,0,984,243,0.509,,
PAR,28.036,63.435,-10.764,1,,
PDI,,,,,,
PKE,5.41,0.268,10.741,0.136,,
PKOH,56,598.8,91.1,7.1,,
ECORF,0.033,0.666,-1.012,,,
PKDC,104.951,196.916,42.031,2.67,,
PH,3219.767,6520.831,2117.877,55.61,,
PATK,139.39,736.821,152.042,7.5,,
