fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2019,AOXY,60,6010,601020,60102020,531120,6512,C,0.66,0.044,0,0.359,0.296,0,0.301,-20.676,0.038,0.019,0.019,0.008,0.017,0,-0.026
2018,ADM,30,3020,302020,30202010,31122,2070,B+,40833,20588,8813,21837,11776,8465,18996,16421,64341,59219,61380,1810,-4784,6582,187
2019,ADM,30,3020,302020,30202010,31122,2070,B+,43997,21347,9170,24772,13734,9052,19225,16553,64656,59517,61993,1379,-5452,5259,-660
2018,PNW1,55,5510,551010,55101010,2211,4911,,17565.323,893.682,294.094,11778.526,1576.097,266.277,5786.797,2761.149,3688.342,2277.88,2277.88,570.265,1254.801,-1187.446,-75.499
2019,PNW1,55,5510,551010,55101010,2211,4911,,18370.723,981.492,345.92,12371.92,1492.029,338.006,5998.803,2976.405,3471.209,2193.381,2193.381,565.271,1007.411,-1136.093,133.144
2018,ARCB,20,2030,203040,20304020,484122,4213,B+,1539.231,649.226,0,821.549,451.318,143.785,717.682,487.151,3093.788,2837.803,2837.803,67.262,255.347,-94.95,-90.983
2019,ARCB,20,2030,203040,20304020,484122,4213,B+,1651.207,664.402,0,888.164,444.277,134.374,763.043,533.39,2988.31,2791.452,2791.452,39.985,170.364,-98.241,-60.4
2018,ETR1,55,5510,551010,55101010,2211,4911,,10401.596,650.754,219.462,7418.493,737.249,251.768,2983.103,,2060.643,1662.345,1662.345,252.707,211.825,-688.727,470.805
2019,ETR1,55,5510,551010,55101010,2211,4911,,11205.633,687.421,245.065,8079.696,621.793,111.785,3125.937,,2259.594,1557.216,1557.216,262.964,677.766,-676.293,1.927
2018,ARW,45,4520,452030,45203030,423690,5065,B,17784.445,13608.3,3878.678,12408.079,8790.428,7631.879,5376.366,6035.886,29676.768,25975.856,28278.907,716.195,272.69,-462.965,-36.833
